name,description,can_id,bus,can_speed,frame_length,start_byte,start_bit,bit_length,byte_order,signed,multiplier,offset,units,frequency,vehicles,platform,module,confidence,status,source_count,validation_method,notes
BCMDoorBeltStatus FrontLeftDoor,Front left door opened state,0x12A,HS-CAN candidate,500K,8,1,1,1,motorola,false,1,0,state,unknown,OpenDBC GM Global A / C1XX candidates,Global A/C1XX,K9_BCM,Strongly likely,passive_test_candidate,2,Open/close driver door and watch bit,OpenDBC source is CT6/GM Global A but Acadia/Traverse openpilot use GM Global A data
BCMDoorBeltStatus FrontRightDoor,Front right door opened state,0x12A,HS-CAN candidate,500K,8,1,2,1,motorola,false,1,0,state,unknown,OpenDBC GM Global A / C1XX candidates,Global A/C1XX,K9_BCM,Strongly likely,passive_test_candidate,2,Open/close passenger door and watch bit,
BCMDoorBeltStatus RearLeftDoor,Rear left door opened state,0x12A,HS-CAN candidate,500K,8,1,0,1,motorola,false,1,0,state,unknown,OpenDBC GM Global A / C1XX candidates,Global A/C1XX,K9_BCM,Strongly likely,passive_test_candidate,2,Open/close left rear door and watch bit,
BCMDoorBeltStatus RearRightDoor,Rear right door opened state,0x12A,HS-CAN candidate,500K,8,2,7,1,motorola,false,1,0,state,unknown,OpenDBC GM Global A / C1XX candidates,Global A/C1XX,K9_BCM,Strongly likely,passive_test_candidate,2,Open/close right rear door and watch bit,
BCMDoorBeltStatus LeftSeatBelt,Driver/left seat belt latch,0x12A,HS-CAN candidate,500K,8,1,4,1,motorola,false,1,0,state,unknown,OpenDBC GM Global A candidates,Global A,K9_BCM,Possible,passive_test_candidate,1,Buckle/unbuckle at rest,
BCMTurnSignals,Turn signal state,0x140,HS-CAN candidate,500K,3,2,3,2,motorola,false,1,0,enum,unknown,OpenDBC GM Global A / C1XX candidates,Global A/C1XX,K9_BCM,Strongly likely,passive_test_candidate,2,Left/right signal test,0 none 1 left 2 right per OpenDBC
Engine oil life remaining,Passive engine oil life,0x3F9,HS-CAN candidate,500K,8,6,7,8,motorola,false,0.392157,0,%,unknown,Public GM HS-CAN DBC,GM Global A,ECM,Strongly likely,passive_test_candidate,1,Compare dash oil life,Prioritize over untrusted 221155
Generator field duty cycle,Passive generator duty,0x3F9,HS-CAN candidate,500K,8,3,7,8,motorola,false,0.392157,0,%,unknown,Public GM HS-CAN DBC,GM Global A,ECM,Possible,passive_test_candidate,1,Compare existing 22114D,
Transmission oil temperature,Passive trans oil temp,0x4C9,HS-CAN candidate,500K,4,1,7,8,motorola,false,1,-40,C,unknown,Public GM HS-CAN DBC,GM Global A,ECM/TCM,Possible,passive_test_candidate,1,Compare 221940,
Engine General Status 5 FuelLevel,Passive fuel level,0x4D1,HS-CAN candidate,500K,8,5,7,8,motorola,false,0.3921,0,%,unknown,Public GM HS-CAN DBC,GM Global A,ECM,Possible,passive_test_candidate,1,Compare guarded fuel,
