identifier,type,definition_a,definition_b,source_a,source_b,analysis,resolution,status
221155,DID,"Oil life B4/2.55 candidate","Observed value did not match 2022 Enclave dash oil life",Forum-style GM PID lead,Project observation,"Response 7E8 04 62 11 55 63 yielded values inconsistent with dash; downstream display showed wrong value",Do not present as trusted oil life,rejected
222122,DID,"AI/search claimed BCM door status DID with header 7BC","Known Enclave BCM route is 241/641",AI/search result,Project observation,"7BC was not verified on the vehicle; 241/641 returned VIN data",Test only after passive capture and use 241/641 first,unresolved
22119F,DID,"Oil life raw*100/255","Alternate 22119F01 request may be required",GM enhanced PID leads,User-provided research,"Request length/selector uncertain",Test both as one-off and validate against dash,unresolved
Door status,type,"Passive 0x12A BCM door bits","Active DID 222122 bitmask claim",OpenDBC/GM Global A,AI/search result,"Passive source is stronger and read-only; DID claim is not independently sourced",Prioritize passive 0x12A,open
221940,DID,"Existing Enclave/WiCAN candidate uses 7E0/7E8","SimpleOBDII GM trans temp uses CANID 7E2",Project observation,SimpleOBDII,"Different GM vehicles/tools may query transmission temperature through ECM/gateway or TCM physical address",Keep 7E0 entry as current candidate; test 7E2 only if needed,open
Oil life,DID,"Passive 0x3F9 and enhanced 22119F/22119F01 candidates","SimpleOBDII alternate 1A6D candidate",Public GM DBC and GM enhanced leads,SimpleOBDII,"Multiple plausible oil-life sources exist and 221155 was rejected by vehicle observation",Compare each one-off response against dashboard before trusting,open
Oil pressure,DID,"221470 public GM/Torque/RealDash oil pressure candidate","22115C older GM/Torque oil pressure candidate",RealDash/Torque,GPS-LapTimer/Torque/GMTNation,"Both have public evidence; 22115C has repeated psi equation evidence while 221470 appears in GM predefined lists but may fail on some vehicles",Test both one-off and trust only the one matching engine-off and running pressure behavior,open
221940,DID,"Public GM/Torque evidence says 221940 with Auto or 7E2 header","Existing Enclave/WiCAN route uses 7E0/7E8 and some GM vehicles report no data",Torque/GMTNation/SSForums,Project observation and Torque failures,"Header/module differs by vehicle and transmission generation; some GM transmissions require non-neutral/drive state for response",Keep current 7E0 test first; record negative response and optionally test 7E2 only as controlled follow-up,open
Oil life,DID,"22119F/22119F01/221155 oil life candidates","1A6D matched dash oil life exactly",GM public PID leads,Live Enclave test 2026-08-06,"22119F rejected with 7F 22 31; 22119F01 rejected with 7F 22 12; prior 221155 mismatched dash; 1A6D returned raw 57 decoded to 33.98 percent while dash showed 34 percent",Use 1A6D for active oil life and keep 221155/22119F/22119F01 rejected,resolved
Oil pressure,DID,"22115C/221470/221C1B/222344/222345 oil pressure candidates","All returned zero or implausible running values",Public GM and OBDb Traverse leads,Live Enclave test 2026-08-06,"Engine was running but candidates decoded as zero or negative pressure. These are not valid Enclave oil pressure sources in the tested route",Do not use active oil pressure DIDs from this set; revisit passive or scan-tool source only,rejected
TPMS,DID,"ECM tire-pressure DIDs 22248E-222491 and 22C901/22C902","Dash showed tire pressures but ECM/RFA route tests failed",OBDb unsupported Traverse list and live Enclave test,Live Enclave test 2026-08-06,"7E0/7E8 returned 7F 22 31 for ECM TPMS candidates. 258/658 route produced NO DATA/timeouts and wedged AutoPID busy",Do not actively probe TPMS further without stronger module route evidence; prioritize low-speed passive capture,open
