name,description,service,pid,request_header,response_header,request,response_prefix,module,bus,equation,units,minimum,maximum,vehicles,platform,engine,transmission,confidence,status,source_count,validation_method,notes
Supported PIDs 01-20,Standard supported PID bitmap,01,00,7DF,7E8,0100,4100,ECM,HS-CAN,bitmap,,0,0,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,ready_to_test,1,Valid 41 00 response,Run first
Supported PIDs 21-40,Standard supported PID bitmap,01,20,7DF,7E8,0120,4120,ECM,HS-CAN,bitmap,,0,0,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,ready_to_test,1,Valid 41 20 response,Run first
Supported PIDs 41-60,Standard supported PID bitmap,01,40,7DF,7E8,0140,4140,ECM,HS-CAN,bitmap,,0,0,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,ready_to_test,1,Valid 41 40 response,Run first
Supported PIDs 61-80,Standard supported PID bitmap,01,60,7DF,7E8,0160,4160,ECM,HS-CAN,bitmap,,0,0,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,ready_to_test,1,Valid 41 60 response,Run first
Supported PIDs 81-A0,Standard supported PID bitmap,01,80,7DF,7E8,0180,4180,ECM,HS-CAN,bitmap,,0,0,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,ready_to_test,1,Valid 41 80 response,Run first
Supported PIDs A1-C0,Standard supported PID bitmap,01,A0,7DF,7E8,01A0,41A0,ECM,HS-CAN,bitmap,,0,0,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,ready_to_test,1,Valid 41 A0 response,Run first
Calculated engine load,Standard calculated load,01,04,7DF,7E8,0104,4104,ECM,HS-CAN,A*100/255,%,0,100,GM OBD-II,any,any,any,Confirmed,existing_or_ready,1,Compare with scan tool,Already standard in current WiCAN list
Engine coolant temperature,Standard coolant temperature,01,05,7DF,7E8,0105,4105,ECM,HS-CAN,A-40,C,-40,215,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,existing,2,Cold ambient and warm-up,Current WiCAN converts to F
STFT Bank 1,Short-term fuel trim bank 1,01,06,7DF,7E8,0106,4106,ECM,HS-CAN,(A-128)*100/128,%, -100,99.2,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,confirmed_live,2,Live idle response,Live Enclave 2026-08-06 returned 7E8 03 41 06 82 decoded as 1.56 percent
LTFT Bank 1,Long-term fuel trim bank 1,01,07,7DF,7E8,0107,4107,ECM,HS-CAN,(A-128)*100/128,%, -100,99.2,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,confirmed_live,2,Live idle response,Live Enclave 2026-08-06 returned 7E8 03 41 07 7B decoded as -3.91 percent
