source_id,title,url,source_type,publisher,author,date_accessed,vehicle_relevance,credibility,notes
SRC001,WiCAN firmware repository,https://github.com/meatpiHQ/wican-fw,official/code,MeatPi Electronics,,2026-08-05,WiCAN hardware and firmware,high,Documents WiCAN Pro capabilities and firmware links
SRC002,WiCAN releases,https://github.com/meatpiHQ/wican-fw/releases,official/code,MeatPi Electronics,,2026-08-05,WiCAN firmware version,high,Used to confirm latest checked firmware v4.50p
SRC003,WiCAN documentation,https://meatpihq.github.io/wican-fw/,official docs,MeatPi Electronics,,2026-08-05,WiCAN configuration,high,Linked by upstream repository
SRC004,OpenDBC GM low speed,https://raw.githubusercontent.com/commaai/opendbc/master/opendbc/dbc/gm_global_a_lowspeed.dbc,code/dbc,commaai/opendbc,,2026-08-05,GM Global A low-speed body leads,medium,Not C1XX-specific but useful passive low-speed clues
SRC005,OpenDBC Cadillac CT6 powertrain,https://raw.githubusercontent.com/commaai/opendbc/master/opendbc/dbc/cadillac_ct6_powertrain.dbc,code/dbc,commaai/opendbc,,2026-08-05,Same-era GM Global A passive signals,medium,Contains BCM door/belt and turn signal frames; CT6 is not C1XX
SRC006,OpenDBC GM Global A expanded low speed,https://raw.githubusercontent.com/commaai/opendbc/master/opendbc/dbc/gm_global_a_lowspeed_1818125.dbc,code/dbc,commaai/opendbc,,2026-08-05,Generic GM body leads,medium,Large body/low-speed DBC with many undecoded or generic signals
SRC007,Public GM HS-CAN DBC,https://raw.githubusercontent.com/pddenhar/gm_dbc/master/GM%20HS-CAN.dbc,code/dbc,pddenhar/gm_dbc,,2026-08-05,GM HS-CAN powertrain leads,medium,Contains oil life/fuel/trans/gearing passive candidates
SRC008,OBD-II PIDs,https://en.wikipedia.org/wiki/OBD-II_PIDs,reference,Wikipedia contributors,,2026-08-05,SAE PID formulas,medium,Use only as standard PID reference; support requires vehicle bitmap or response
SRC009,Project WiCAN observations,local conversation/project state,project notes,OpenCode/User,,2026-08-05,2022 Buick Enclave direct observations,high,Includes confirmed BCM route and existing WiCAN sensor behavior
SRC010,OpenDBC GM platform values,https://github.com/commaai/opendbc/blob/master/opendbc/car/gm/values.py,code,commaai/opendbc,,2026-08-05,C1XX related Acadia and Traverse support,high,Shows GMC Acadia 2018 and Chevrolet Traverse 2022-23 support entries
SRC011,OpenDBC GM fingerprints,https://github.com/commaai/opendbc/blob/master/opendbc/car/gm/fingerprints.py,code,commaai/opendbc,,2026-08-05,C1XX related passive CAN IDs,high,Fingerprints include GMC_ACADIA and CHEVROLET_TRAVERSE with IDs 298 320 497 501
SRC012,OpenDBC GM test routes,https://github.com/commaai/opendbc/blob/master/opendbc/car/tests/routes.py,code,commaai/opendbc,,2026-08-05,C1XX related route evidence,high,Includes public test routes for GMC Acadia and Chevrolet Traverse
SRC013,OpenDBC generated GM powertrain DBC,https://github.com/commaai/opendbc/blob/master/opendbc/dbc/generator/gm/gm_global_a_powertrain.dbc,code/dbc,commaai/opendbc,,2026-08-05,GM Global A powertrain and BCM broadcasts,high,Defines BCMDoorBeltStatus BCMTurnSignals BCMGeneralPlatformStatus ECMPRDNL2 and values
SRC014,RealDash GM LS OBD2 XML,https://raw.githubusercontent.com/janimm/RealDash-extras/master/OBD2/realdash_obd2_gm_ls.xml,community code/profile,RealDash extras contributors,,2026-08-05,GM enhanced DID leads,medium,Provides public GM LS PID profile with 221470 221951 22199A 221940 221154 2211A6
SRC015,SimpleOBDII default user PIDs,https://raw.githubusercontent.com/MOtterbine/SimpleOBDII/master/SimpleOBDII/ViewModels/UserPIDSViewModel.cs,community code,SimpleOBDII contributors,,2026-08-05,GM user PID leads,medium,Includes default GM trans temp 221940 on 7E2 and oil life 1A6D on 7E0
SRC016,Harry GPS Suite GM PID forum,https://forum.gps-laptimer.de/viewtopic.php?t=2292,forum/community,Harry GPS Suite forum,froggy47,2026-08-06,GM enhanced PID leads,medium,Public post lists 221154 A-40 221940 A-40 and 22115C oil pressure formula
SRC017,GMTNation Torque App thread,https://gmtnation.com/forums/threads/torque-app.4761/,forum/community,GMTNation,AtlWrk,2026-08-06,GM trans temp header evidence,medium,Public post lists 221940 with Auto or 7E2 header and F conversion
SRC018,Traverse Forum transmission temperature thread,https://www.traverseforum.com/threads/obdii-transmission-temp.4033/,forum/community,Traverse Forum,,2026-08-06,C1XX-adjacent Traverse trans temp evidence,medium,Gen2 Traverse has DIC trans temp and capable scan tools can read it; Torque GM PID set reportedly works on 2013 Traverse
SRC019,GMTNation oil life PID thread,https://gmtnation.com/forums/threads/2008-envoy-sle-oil-life-monitor-pid.14559/,forum/community,GMTNation,,2026-08-06,GM oil life PID evidence,medium,Public thread discusses 22119F A/2.55 Auto and vehicle-dependent failures
SRC020,Torque ScanGauge oil life thread,https://torque-bhp.com/community/main-forum/scangauge-2-pid-input-for-olm/,forum/community,Torque Forum,,2026-08-06,GM oil life ScanGauge translation,medium,Lists ScanGauge 07E022119F01 and Torque 22119F with 7E0/Auto and A*100/255 style formula
SRC021,Torque GM oil pressure thread,https://torque-bhp.com/community/main-forum/gm-oil-pressure-in-versoin-1-10-258/,forum/community,Torque Forum,,2026-08-06,GM oil pressure PID evidence,medium,Reports 221470 A*0.578 issue and working 22115C equation (A*0.65)-17.5 psi
SRC022,HP Tuners GMLAN gear thread,https://forum.hptuners.com/showthread.php?77170-GM-PID-s-for-Gear-Indicate-P-N-R=,forum/community,HP Tuners forum,,2026-08-06,GM passive PRNDL/gear evidence,medium,Public post reports 0x1F5 byte 4 PRNDL values Park Reverse Neutral Drive and DBC TransEstGear bitfield
SRC023,GM service-style door ajar diagnostics,https://gm.saturn.team/GMC_Truck/Acadia___AWD/2009/99/10/7709/161094,service info mirror,gm.saturn.team,,2026-08-06,Acadia/GM door ajar data path,medium,Describes BCM/DDM/PDM door ajar scan tool parameters and serial data messages; no public DID provided
SRC024,GM data communications overview,https://tis-volt.by/volt2/sm/part4.htm,service info mirror,tis-volt.by,,2026-08-06,GM GMLAN topology,medium,Describes BCM as gateway between high-speed and low-speed GMLAN and DLC pin assignments
SRC025,Tire Review GM TPMS service article,https://www.tirereview.com/servicing-gm-tpms/,service article,Tire Review,Andrew Markel,2026-08-06,GM TPMS system behavior,medium,Explains TPMS sensors report through receiver/keyless module to BCM and DIC; supports RFA/BCM TPMS path
